 lambda X X125 X126 X127 X128 X130 X132 X133 X134 X135 X136 X137 X138 X139 X140 X141 X142 X143 X144 X145 X146 X147 X148 X160 X162 X163 X165 X166 X168 X169 X171 X172 X173 X174 X175 X176 X177 X178 X179 X180 X181 X182 X183 X184 X185 X186 X187 X188 X189 X190 X191 X192 X193 X194 X195 X196 X197 X198 X199 X200 X201 X202 X203 X204 X205 X206 X207 X208 X209 X210 X211 X212 X213 X214 X216 X220 X221 X222 X223 X224 X225 X226 X227 X228 X229 X231 X232 X236 X237 X238 X239 X240 X241 X242 X243 X244 X129
1 399.1989 1 0.04230056 0.0520103366666667 0.03976607 0.0472272866666667 0.04729291 0.0303120966666667 0.0268952966666667 0.0417744966666667 0.0352274266666667 0.0245591866666667 0.03681605 0.03674349 0.0453946733333333 0.04493567 0.0417638966666667 0.0491999166666667 0.0369398333333333 0.0388500633333333 0.0546356333333333 0.0390166566666667 0.04066672 0.0393155366666667 0.04690074 0.06238782 0.0382874933333333 0.0370315466666667 0.04934336 0.0244241766666667 0.0341873866666667 0.0353899066666667 0.04163498 0.0413508866666667 0.0459426866666667 0.02977302 0.06299186 0.05354881 0.03772279 0.0426377233333333 0.0359655066666667 0.0468951233333333 0.0482319666666667 0.0420076566666667 0.04294395 0.0426772733333333 0.0498157433333333 0.022574085 0.0551486033333333 0.0348479333333333 0.0371034666666667 0.0286626066666667 0.0363965166666667 0.03287181 0.0450316066666667 0.03509557 0.0501902166666667 0.0429813166666667 0.06733405 0.0364407366666667 0.0437351966666667 0.04263344 0.0533447266666667 0.0442647666666667 0.0747303866666667 0.0703623266666667 0.05876564 0.0769304333333333 0.0592201 0.03720839 0.03988177 0.0495117566666667 0.0469962833333333 0.0333070733333333 0.03240414 0.0343995366666667 0.02390914 0.03402952 0.0412298966666667 0.07096395 0.04505841 0.0387934666666667 0.06508852 0.0709209733333333 0.0345594666666667 0.03942238 0.0725534566666667 0.0333334533333333 0.0574557066666667 0.07719996 0.0376412766666667 0.0386637266666667 0.0471514166666667 0.04105631 0.0332967966666667 0.0305387753333333 0.02701763 0.05166385
2 401.1274 2 0.04311507 0.0502234433333333 0.0382211633333333 0.04552751 0.0463234466666667 0.0303612866666667 0.0286791233333333 0.0418584033333333 0.03742229 0.02728766 0.0396989266666667 0.0399139766666667 0.0443095333333333 0.0419064466666667 0.04089556 0.0520941766666667 0.0405689566666667 0.0372460366666667 0.0535870866666667 0.0370189766666667 0.0363843133333333 0.03877412 0.0464191333333333 0.0618333166666667 0.0431621466666667 0.0405317266666667 0.0494794833333333 0.02591964 0.0346648833333333 0.03403978 0.04132726 0.0415243433333333 0.0463810733333333 0.0317735433333333 0.0626115733333333 0.05163528 0.03674883 0.0409644533333333 0.0354369633333333 0.0469168633333333 0.0453475033333333 0.03984986 0.0395232366666667 0.0414636066666667 0.0471104266666667 0.0252073953333333 0.0583237133333333 0.03537213 0.037327 0.0288181433333333 0.03676314 0.0317430166666667 0.0422419066666667 0.0319304666666667 0.04804963 0.0396681666666667 0.0617995166666667 0.0376148566666667 0.04508061 0.0447000666666667 0.0542909533333333 0.04329633 0.0753219666666667 0.0711430466666667 0.0609708966666667 0.0751885466666667 0.0565936333333333 0.04008347 0.04051805 0.0534670866666667 0.0496153066666667 0.0357752033333333 0.03087169 0.0332415833333333 0.0233851166666667 0.0342177033333333 0.0386647266666667 0.07087109 0.0440826266666667 0.03862379 0.06704057 0.0732837533333333 0.0343248866666667 0.04081062 0.07224343 0.0310594166666667 0.05705212 0.0795466166666667 0.0365177366666667 0.0403173933333333 0.0473539633333333 0.0419201233333333 0.0357695366666667 0.0328207533333333 0.0320828333333333 0.05089679
3 403.0559 3 0.04311507 0.04984818 0.03760935 0.0452275466666667 0.0463234466666667 0.0303612866666667 0.0286791233333333 0.0418584033333333 0.03742229 0.02728766 0.0396989266666667 0.0399139766666667 0.0443095333333333 0.0419064466666667 0.04089556 0.0520941766666667 0.0405689566666667 0.0372460366666667 0.0535870866666667 0.0370189766666667 0.0363843133333333 0.03877412 0.0464191333333333 0.0618333166666667 0.0431621466666667 0.0405317266666667 0.0494794833333333 0.02591964 0.0346648833333333 0.03403978 0.04132726 0.0415243433333333 0.0463810733333333 0.0317735433333333 0.0626115733333333 0.05163528 0.03674883 0.0409644533333333 0.0354369633333333 0.0469168633333333 0.0453475033333333 0.03984986 0.0395232366666667 0.0414636066666667 0.0471104266666667 0.0252073953333333 0.05948678 0.03537213 0.037327 0.0288181433333333 0.03676314 0.0317430166666667 0.0422419066666667 0.0319304666666667 0.04804963 0.0396681666666667 0.0617995166666667 0.0376148566666667 0.0460003066666667 0.0447000666666667 0.0542909533333333 0.04329633 0.0753219666666667 0.0711430466666667 0.0615095333333333 0.07305973 0.0550870666666667 0.04008347 0.04051805 0.0534670866666667 0.0496153066666667 0.0357752033333333 0.03087169 0.0332415833333333 0.0233851166666667 0.0342177033333333 0.0386647266666667 0.07087109 0.0440826266666667 0.03862379 0.06704057 0.0731380766666667 0.0343248866666667 0.04081062 0.07224343 0.0310594166666667 0.05705212 0.0795466166666667 0.0365177366666667 0.0405416233333333 0.0473539633333333 0.0419201233333333 0.0357782333333333 0.0328207533333333 0.0320828333333333 0.05089679
4 404.9844 4 0.0433928933333333 0.0500780833333333 0.0364946333333333 0.0459740433333333 0.0485503333333333 0.0301231366666667 0.02948636 0.04116382 0.0361295233333333 0.0264036333333333 0.0381889133333333 0.0390071133333333 0.0460601833333333 0.0429253 0.04005927 0.0492898 0.04056213 0.0375438266666667 0.05422874 0.03817606 0.0357315433333333 0.0391749533333333 0.0461022166666667 0.0628482466666667 0.0425376666666667 0.0405913433333333 0.0496150633333333 0.0271322633333333 0.03457014 0.03546933 0.0410663266666667 0.04294491 0.0468661566666667 0.0334599333333333 0.0646187766666667 0.05182683 0.0367445866666667 0.0430164266666667 0.0372861033333333 0.0479723 0.0475434333333333 0.0410038033333333 0.04013953 0.0430552066666667 0.04822886 0.02600643 0.06080465 0.03683303 0.0393492866666667 0.0281610166666667 0.03567541 0.03082154 0.0411543433333333 0.0297664966666667 0.0467550133333333 0.0395600366666667 0.0618064533333333 0.0388752 0.0493628433333333 0.04722972 0.05592461 0.0453136933333333 0.0765090133333333 0.07102318 0.06163639 0.0730024 0.0559813366666667 0.0403446 0.0410560966666667 0.0542490366666667 0.0496158366666667 0.0375951466666667 0.0314362233333333 0.03243943 0.02389609 0.0342495266666667 0.0379045866666667 0.06994923 0.04320265 0.0390797566666667 0.0700688333333333 0.0723780533333333 0.0356109533333333 0.04050624 0.0720850566666667 0.03098409 0.0575941166666667 0.0785597866666667 0.0358300966666667 0.04008902 0.0465176 0.0419000166666667 0.0344053866666667 0.0311185446666667 0.0309078433333333 0.05145312
5 406.9129 5 0.04352341 0.0501669466666667 0.0368420166666667 0.04739428 0.05046695 0.0301606833333333 0.0289521466666667 0.0407984 0.03623237 0.0255834966666667 0.0372129833333333 0.03692216 0.0462959466666667 0.0424685366666667 0.0414872133333333 0.04980266 0.0410277166666667 0.0359669333333333 0.05366297 0.0377021066666667 0.03543426 0.03817877 0.0449798733333333 0.0623786466666667 0.0413176566666667 0.04039889 0.0472255633333333 0.0272830033333333 0.03525837 0.0363942733333333 0.04144114 0.0441805433333333 0.0479591266666667 0.0328968633333333 0.06173386 0.0513221933333333 0.0373629133333333 0.0435398433333333 0.0365671633333333 0.0470647033333333 0.0487981166666667 0.04216391 0.0426594866666667 0.0446212766666667 0.0488441666666667 0.0276885 0.06160715 0.03817559 0.03994723 0.0284315466666667 0.0346484666666667 0.0319006333333333 0.04262812 0.03246332 0.04691712 0.0399152966666667 0.06187906 0.0378442333333333 0.0483456433333333 0.04861901 0.0556906833333333 0.0464600366666667 0.0774176266666667 0.0712806066666667 0.0614809466666667 0.07511438 0.057836 0.04109339 0.04069446 0.0542592966666667 0.04874082 0.0381573833333333 0.0318210066666667 0.0344801566666667 0.0250507366666667 0.0337737333333333 0.03887132 0.0711970666666667 0.0425173766666667 0.0411864066666667 0.0725795966666667 0.0752753833333333 0.03834691 0.0424073166666667 0.0736321633333333 0.0321358866666667 0.0573305033333333 0.07900877 0.03626518 0.0409995066666667 0.04692843 0.04335764 0.0347077633333333 0.0311830533333333 0.03157392 0.05272469
6 408.8414 6 0.0430061166666667 0.0492475666666667 0.0358090366666667 0.0470949933333333 0.0508884433333333 0.0298582666666667 0.0284898 0.0406211466666667 0.03750074 0.02639618 0.038354 0.0374806833333333 0.04635298 0.0424689633333333 0.0428784433333333 0.0507507666666667 0.0406251033333333 0.0358188966666667 0.05360714 0.03601815 0.0354137366666667 0.0380244633333333 0.0443518266666667 0.0614172333333333 0.0413599666666667 0.04032543 0.0460258666666667 0.0283334666666667 0.0352600366666667 0.0360398966666667 0.04203675 0.04449472 0.0499331833333333 0.0349387266666667 0.0624151366666667 0.0523719466666667 0.03792117 0.04294573 0.0372604733333333 0.0473202566666667 0.0492365466666667 0.0428603333333333 0.0433196933333333 0.0453733566666667 0.0493158066666667 0.02885585 0.06352541 0.03870515 0.0405802033333333 0.0292964166666667 0.0352106533333333 0.0318213066666667 0.04360358 0.0353652566666667 0.0499536233333333 0.0397782266666667 0.0612396433333333 0.0376872166666667 0.0478815766666667 0.04938395 0.0560229733333333 0.0478794 0.0790050866666667 0.0724178966666667 0.0613575366666667 0.0755512766666667 0.05763355 0.0422877 0.0397839033333333 0.0541160966666667 0.0467025166666667 0.03850457 0.0315266333333333 0.0361627733333333 0.02630435 0.0349716033333333 0.0394745833333333 0.0707020933333333 0.0419986466666667 0.0423519366666667 0.07138646 0.0782091333333333 0.0380828666666667 0.0425042166666667 0.07491574 0.03353006 0.0576915666666667 0.0792767066666667 0.0369577466666667 0.0398673933333333 0.0457526866666667 0.04263102 0.0346472933333333 0.0307091666666667 0.0306784266666667 0.0523839
7 410.7699 7 0.0443300866666667 0.0484329233333333 0.03583491 0.0467628133333333 0.0509563233333333 0.03002019 0.0286959233333333 0.0406327433333333 0.03732317 0.02667278 0.0391883866666667 0.0371093033333333 0.0465386866666667 0.0418790266666667 0.0432344066666667 0.05102528 0.0418066666666667 0.0358431366666667 0.0532058533333333 0.0362047033333333 0.03582111 0.0381223 0.04399668 0.0614746666666667 0.04385135 0.0412761266666667 0.0457744466666667 0.02886256 0.03514154 0.0363315666666667 0.0422385133333333 0.0444541566666667 0.05017733 0.03644571 0.0633938666666667 0.0521269466666667 0.0380618433333333 0.0421372566666667 0.0371382733333333 0.0465558633333333 0.04861829 0.04191707 0.04291524 0.0451516133333333 0.0487936533333333 0.0318746833333333 0.06674591 0.0400388433333333 0.0422200366666667 0.0295085033333333 0.0366143566666667 0.0316101233333333 0.0427502433333333 0.0358288 0.05115293 0.0402201033333333 0.0621988833333333 0.0389579566666667 0.0512123333333333 0.0509537066666667 0.05743921 0.0480918666666667 0.0812252633333333 0.0728363066666667 0.0617498933333333 0.0746762633333333 0.0555455766666667 0.0436886466666667 0.0398328433333333 0.05481292 0.0470828133333333 0.0383034533333333 0.03149682 0.0359935666666667 0.0274168266666667 0.0353269533333333 0.0405714133333333 0.0709398 0.0411631966666667 0.0414733533333333 0.0698859266666667 0.0791029766666667 0.0367584066666667 0.0416452966666667 0.0753178466666667 0.0332861133333333 0.05873092 0.0800045933333333 0.03744078 0.0407462233333333 0.0453317533333333 0.04202637 0.03457435 0.03278405 0.0331170666666667 0.05313249
8 412.6984 8 0.04560577 0.0486488633333333 0.0356842066666667 0.0474179933333333 0.05165283 0.0308415833333333 0.02932888 0.0411688066666667 0.03738001 0.0267074866666667 0.0394143766666667 0.0366374266666667 0.04707165 0.04262976 0.0434773633333333 0.0504127 0.0427241766666667 0.0366169033333333 0.05381644 0.03735775 0.0358483566666667 0.0388294033333333 0.0454787566666667 0.06180573 0.04482225 0.0419418033333333 0.0464222266666667 0.0292060933333333 0.0363047666666667 0.03733052 0.0422368833333333 0.0449641633333333 0.0495416966666667 0.0362343066666667 0.0630065066666667 0.0517908133333333 0.0388071466666667 0.0431341766666667 0.0363701166666667 0.0461526366666667 0.04896859 0.0424455933333333 0.0436585833333333 0.0455802133333333 0.0487464066666667 0.03382266 0.0679901266666667 0.04155672 0.0432768066666667 0.02899376 0.03728935 0.0313257566666667 0.04302284 0.0344933466666667 0.0490760333333333 0.0402510566666667 0.0630904 0.03933805 0.05351763 0.0531042566666667 0.05874919 0.0494189566666667 0.0834395066666667 0.0729982533333333 0.06166909 0.0723739266666667 0.0539103366666667 0.0440124433333333 0.04002709 0.05633312 0.04708874 0.0386165466666667 0.0318026366666667 0.0356665233333333 0.0286279566666667 0.0356879966666667 0.0410867166666667 0.0729285766666667 0.0418229433333333 0.0416020633333333 0.06926128 0.0799473333333333 0.03741281 0.04127963 0.07467146 0.0334106733333333 0.0587651633333333 0.0810925566666667 0.03854141 0.0419223066666667 0.04583706 0.0433762366666667 0.0369035633333333 0.0342205733333333 0.0349954033333333 0.05365834
9 414.6269 9 0.04675464 0.04897817 0.0353130666666667 0.04883172 0.05224376 0.0318642466666667 0.0303813533333333 0.0420262966666667 0.03845808 0.0267860533333333 0.0393527766666667 0.0369104566666667 0.0478520433333333 0.04303994 0.0441065 0.0504089666666667 0.0434951966666667 0.037428 0.0548625 0.03822709 0.03658637 0.0390697466666667 0.0458229033333333 0.0611521133333333 0.0451459066666667 0.0430979733333333 0.0458335 0.02965966 0.0358338233333333 0.0371306366666667 0.04252524 0.04622466 0.0498403733333333 0.0361982433333333 0.0628963 0.0516085166666667 0.03846216 0.0438888 0.0355328733333333 0.0464609866666667 0.0484677633333333 0.0421682366666667 0.04405132 0.0458061633333333 0.0493043333333333 0.0338794433333333 0.0686482866666667 0.0419067333333333 0.0428772266666667 0.0288011066666667 0.03722214 0.03213339 0.0436683566666667 0.0342262733333333 0.0486057333333333 0.03969473 0.0642482466666667 0.0385099666666667 0.0533771666666667 0.05268666 0.0586474033333333 0.0501168666666667 0.08414354 0.0738744366666667 0.0628217866666667 0.0724749666666667 0.0538811066666667 0.0443230866666667 0.0396919566666667 0.0564965166666667 0.0467476866666667 0.03949128 0.03221371 0.0362189666666667 0.0298490033333333 0.0361243966666667 0.04136055 0.07426906 0.0432490033333333 0.0428420366666667 0.0692266766666667 0.0804254333333333 0.03883739 0.0416510266666667 0.0742058766666667 0.0344655866666667 0.0593084866666667 0.08213121 0.0396392933333333 0.0419517066666667 0.0454654633333333 0.04324754 0.03769122 0.03335429 0.0345412166666667 0.05511624
10 416.5554 10 0.0470438833333333 0.0495178066666667 0.0356144666666667 0.0488590333333333 0.0531666866666667 0.0328896733333333 0.0312485566666667 0.0433295566666667 0.0396029233333333 0.02714221 0.0390005233333333 0.0372945533333333 0.0487992433333333 0.0433164533333333 0.04372934 0.0502094966666667 0.04312717 0.0388787633333333 0.0561183433333333 0.0398992433333333 0.03778174 0.0396092133333333 0.0466053933333333 0.0619112666666667 0.0444385766666667 0.04330996 0.0458658633333333 0.02957659 0.0357793633333333 0.0378184433333333 0.0422318266666667 0.0465323433333333 0.0497947866666667 0.0362432566666667 0.06324266 0.05107273 0.0384139766666667 0.0439763666666667 0.03506201 0.04540742 0.0490162433333333 0.0424764666666667 0.0443138266666667 0.0465895666666667 0.0501212833333333 0.0341573666666667 0.0697488966666667 0.0428384833333333 0.0430511066666667 0.0295230233333333 0.0379411033333333 0.03326718 0.0436731566666667 0.0351676266666667 0.05040573 0.0400711033333333 0.06513025 0.0391194966666667 0.0540548166666667 0.0528602766666667 0.0586569333333333 0.0501340266666667 0.08506997 0.0755277633333333 0.06337633 0.0716573266666667 0.0537170466666667 0.04532698 0.0405067166666667 0.05698475 0.0477670166666667 0.0401588666666667 0.0326003566666667 0.0363752633333333 0.0304435033333333 0.0372278433333333 0.0414198266666667 0.0752503666666667 0.0438709266666667 0.0435115933333333 0.0693825966666667 0.0814855333333333 0.0395766333333333 0.0426105966666667 0.0754946733333333 0.0356548133333333 0.0609833933333333 0.0822207566666667 0.03971413 0.0418281433333333 0.0462809733333333 0.0438963866666667 0.0385026633333333 0.03348641 0.03503588 0.05527776
