"V2"	"V2.1"	"V2.2"
"145"	0.03116509	0.02188419	0.04065334
"146"	0.03052299	0.02157667	0.03970705
"147"	0.02967062	0.02107158	0.03880388
"148"	0.02912528	0.02068234	0.03827886
"149"	0.02880852	0.02038471	0.03771088
"150"	0.02858976	0.02038416	0.03748611
"151"	0.02824517	0.02011024	0.03716084
"152"	0.0282007	0.01996457	0.03715185
"153"	0.02806597	0.01980677	0.03685358
"154"	0.02802168	0.01984042	0.03665027
"155"	0.02792289	0.01965932	0.03641647
"156"	0.02779355	0.01962772	0.03641099
"157"	0.02772021	0.01949364	0.0361943
"158"	0.02772287	0.01949857	0.03605458
"159"	0.02745024	0.01936962	0.0357872
"160"	0.02735248	0.01934642	0.03563666
"161"	0.02727068	0.01916584	0.03531153
"162"	0.02705917	0.01903393	0.03518144
"163"	0.0268618	0.01888164	0.03505411
"164"	0.02688814	0.01888611	0.0350337
"165"	0.02671727	0.01878434	0.03477837
"166"	0.02659328	0.01877553	0.03481622
"167"	0.0265186	0.01874506	0.03464704
"168"	0.02630517	0.01861899	0.03443245
"169"	0.02601383	0.01832893	0.03395371
"170"	0.0258618	0.01826227	0.03362701
"171"	0.02564094	0.01806352	0.03327749
"172"	0.02530072	0.01791395	0.03307356
"173"	0.02481211	0.01766509	0.03266162
"174"	0.02449643	0.01739565	0.03220983
"175"	0.02426639	0.01711112	0.03175178
"176"	0.02410363	0.01699924	0.03150688
"177"	0.02394697	0.01682471	0.03116702
"178"	0.02378046	0.01672571	0.03088571
"179"	0.02338494	0.01653153	0.03060601
"180"	0.02311324	0.01634539	0.03028619
"181"	0.02288266	0.0161273	0.02990455
"182"	0.02266566	0.01614298	0.02973858
"183"	0.02240929	0.01595111	0.02941109
"184"	0.02225489	0.01578488	0.02915557
"185"	0.0220274	0.01562362	0.02882894
"186"	0.02190184	0.01553126	0.0286185
"187"	0.02184479	0.01529741	0.02841689
"188"	0.02166952	0.01517191	0.02833961
"189"	0.0214095	0.01501064	0.02807368
"190"	0.02127846	0.01498155	0.02803699
"191"	0.02111007	0.01487411	0.02779835
"192"	0.02107021	0.01479039	0.02766915
"193"	0.02095983	0.01465236	0.02746149
"194"	0.02086881	0.01465753	0.0273139
"195"	0.02075	0.01448347	0.02707385
"196"	0.0207884	0.014491	0.02709053
"197"	0.02070742	0.01444561	0.02694734
"198"	0.02051629	0.01435338	0.02681039
"199"	0.02041713	0.01427403	0.02677476
"200"	0.02042165	0.01431612	0.02673308
"201"	0.02027272	0.01416163	0.02647747
"202"	0.02012912	0.01399115	0.02632426
"203"	0.02001151	0.01389638	0.02613973
"204"	0.01985176	0.013756	0.02593543
"205"	0.01966715	0.01363891	0.02576681
"206"	0.01972796	0.01378213	0.02583907
"207"	0.01964704	0.01367625	0.02571189
"208"	0.019554	0.01355228	0.02557323
"209"	0.0195321	0.0134697	0.02547002
"210"	0.0196062	0.01357871	0.02553432
"211"	0.01957359	0.01355156	0.02538082
"212"	0.0195512	0.01349598	0.02530232
"213"	0.01939688	0.01340302	0.02522734
"214"	0.01935628	0.01334668	0.02522306
"215"	0.01926995	0.01323448	0.02501217
"216"	0.01928758	0.0132477	0.02492177
"217"	0.01922919	0.01321897	0.02477486
"218"	0.01913156	0.0131634	0.02479286
"219"	0.01901776	0.01306563	0.02464014
"220"	0.01896241	0.0129981	0.02453604
"221"	0.01883911	0.01285708	0.02435671
"222"	0.01880066	0.01288729	0.02435142
"223"	0.0186075	0.01273243	0.02411952
"224"	0.01842123	0.01260692	0.02392646
"225"	0.01838836	0.01257799	0.02384199
"226"	0.01849066	0.0126963	0.0238994
"227"	0.01854719	0.01276382	0.02387433
"228"	0.01854868	0.01270459	0.02377251
"229"	0.01847921	0.01256445	0.02361676
"230"	0.01841681	0.01257083	0.02360843
"231"	0.01839762	0.01249335	0.02354008
"232"	0.01836866	0.01246037	0.0234874
"233"	0.01837916	0.01248458	0.02347642
"234"	0.01841159	0.0125386	0.02352584
"235"	0.01840478	0.01249014	0.02342124
"236"	0.01840754	0.01250191	0.02334983
"237"	0.01839282	0.01243681	0.02327309
"238"	0.0184707	0.01253574	0.02342868
"239"	0.0184128	0.01247841	0.02344799
"240"	0.01843295	0.01247326	0.02349657
"241"	0.01844951	0.01244407	0.02343645
"242"	0.01848758	0.01247476	0.02349115
"243"	0.01851877	0.01248213	0.02360658
"244"	0.01869234	0.01261804	0.02377384
"245"	0.01884617	0.01261637	0.02387979
"246"	0.0189999	0.01276607	0.0241411
